filename,function_name,n,time,memory,storage,marshaling,no_cache,hash,intra_cache,inter_cache
teste.py,fib,48,0.10611,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,48,0.00509,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,49,0.12137,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,49,0.00478,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,50,0.10441,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,50,0.00476,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,51,0.12053,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,51,0.0047,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,52,0.0857,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,52,0.00471,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,53,0.07936,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,53,0.00476,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,54,0.08638,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,54,0.00469,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,55,0.07888,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,55,0.00465,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,56,0.07399,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,56,0.00521,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,57,0.10516,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,57,0.00502,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,58,0.07664,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,58,0.0053,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,59,0.09941,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,59,0.00519,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,60,0.08921,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,60,0.00495,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,61,0.08117,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,61,0.00504,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,62,0.07997,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,62,0.00476,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,63,0.08782,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,63,0.00495,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,64,0.0787,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,64,0.00487,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,65,0.09535,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,65,0.00497,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,66,0.12447,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,66,0.00487,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,67,0.14431,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,67,0.00485,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,68,0.11987,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,68,0.00517,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,69,0.14147,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,69,0.00475,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,70,0.11685,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,70,0.00487,2d-ad,pickle,db,False,md5,True,True
teste.py,fib,71,0.14357,2d-ad,pickle,db,False,md5,True,False
teste.py,fib,71,0.01,2d-ad,pickle,db,False,md5,True,True
